track_id,track,artist_id,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
6urCAbunOQI4bLhmGpX7iS,Don't Speak,0cQbJU1aAzvbEmTuljWLlF,No Doubt,0.52,0.709,5,-7.125,0,0.0352,0.247,1.78e-05,0.18,0.536,76.039,6urCAbunOQI4bLhmGpX7iS,263560,4
0uppYCG86ajpV2hSR3dJJ0,Give It Away,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577,0uppYCG86ajpV2hSR3dJJ0,282907,4
5JJDu0Z5DKe7mR31MGksSg,Come Out and Play,5LfGQac0EIXyAN8aUwmNAQ,The Offspring,0.519,0.77,7,-8.788,1,0.0809,0.0675,3.48e-06,0.0762,0.921,158.29,5JJDu0Z5DKe7mR31MGksSg,197800,4
5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,5QLHGv0DfpeXLNFo7SFEy1,266200,4
2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,6FBDaR13swtiWwGhX1WQsP,blink-182,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,2m1hi0nfMR9vdGC8UcrnwU,167067,4
6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),7oPftvlwr6VrsViSDV7fJY,Green Day,0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605,6ORqU0bHbVCRjXm9AjyHyZ,153467,4
11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,6olE6TJLqED3rqDCT0FyPh,Nirvana,0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,11LmqTE2naFULdEP94AUBa,281160,4
6GtX0jaNL8IjVQfrDBx81z,Bullet With Butterfly Wings - Remastered 2012,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,6GtX0jaNL8IjVQfrDBx81z,258467,4
5OQsiBsky2k2kDKy2bX2eT,Learn to Fly,7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,0.465,0.919,4,-4.025,1,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,5OQsiBsky2k2kDKy2bX2eT,235293,4
0Puj4YlTm6xNzDDADXHMI9,Sabotage,03r4iKL2g2442PT9n2UKsx,Beastie Boys,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,0Puj4YlTm6xNzDDADXHMI9,178440,4
6gZVQvQZOFpzIy3HblJ20F,Man in the Box,64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,6gZVQvQZOFpzIy3HblJ20F,285200,4
0tZ3mElWcr74OOhKEiNz1x,Bulls On Parade,2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,0tZ3mElWcr74OOhKEiNz1x,229467,4
1L94M3KIu7QluZe63g64rv,Alive,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,1L94M3KIu7QluZe63g64rv,340907,4
6mfkHv00I6jhHIn7EWHJ2N,Just A Girl,0cQbJU1aAzvbEmTuljWLlF,No Doubt,0.635,0.937,2,-2.86,1,0.0452,0.0741,7.29e-05,0.134,0.779,108.003,6mfkHv00I6jhHIn7EWHJ2N,205947,4
0u5aO1GYsIhAWCPuXdwnak,Today - 2011 Remaster,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,0.456,0.826,8,-7.611,1,0.0268,3.35e-05,0.57,0.0548,0.415,82.539,0u5aO1GYsIhAWCPuXdwnak,201173,4
6VoIBz0VhCyz7OdEoRYDiA,Say It Ain't So,3jOstUTkEu2JkjvRdBA5Gu,Weezer,0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,6VoIBz0VhCyz7OdEoRYDiA,258827,4
6dJODklApmve5IzgKWUqV2,Machinehead,78SHxLdtysAXgywQ4vE0Oa,Bush,0.143,0.919,9,-4.438,1,0.11,2.57e-05,0.00427,0.134,0.201,172.668,6dJODklApmve5IzgKWUqV2,256333,3
12dU3vAh6AFoJkisorfoUl,Don't Look Back In Anger - Remastered,2DaxqgrOhkeH0fpeiQq2f4,Oasis,0.328,0.936,0,-3.254,1,0.0628,0.0665,2.61e-06,0.165,0.31,162.97,12dU3vAh6AFoJkisorfoUl,289560,4
45Ia1U4KtIjAPPU7Wv1Sea,Are You Gonna Go My Way,5gznATMVO85ZcLTkE9ULU7,Lenny Kravitz,0.619,0.67,11,-10.322,0,0.0353,0.00165,0.0109,0.331,0.777,129.269,45Ia1U4KtIjAPPU7Wv1Sea,211933,4
48iWbsOaBUAGzMdoSmqyg1,Lightning Crashes,6eoJpTIlcuxJNjV5fDzDJH,Live,0.385,0.433,11,-9.256,1,0.0435,0.241,7.07e-06,0.11,0.427,89.974,48iWbsOaBUAGzMdoSmqyg1,325600,4
6qLEOZvf5gI7kWE63JE7p3,Interstate Love Song - 2019 Remaster,2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots,0.215,0.927,9,-7.327,1,0.0452,0.000273,0.00661,0.126,0.49,170.814,6qLEOZvf5gI7kWE63JE7p3,194853,4
3cfOd4CMv2snFaKAnMdnvK,All Star,2iEvnFsWxR0Syqu2JNopAd,Smash Mouth,0.731,0.867,11,-5.881,1,0.032,0.0395,0.0,0.0861,0.776,104.019,3cfOd4CMv2snFaKAnMdnvK,200373,4
6txWz9UapYHVxEd7dDIHXT,No Rain,5sD1ZLf2dGQ9gQ3YJl1eAd,Blind Melon,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,6txWz9UapYHVxEd7dDIHXT,217107,4
2oDqmfa2g8W893LlwJG1qu,Closer,0X380XXQSNBYuleKzav5UO,Nine Inch Nails,0.547,0.714,10,-8.628,0,0.044,0.000242,0.636,0.122,0.541,89.996,2oDqmfa2g8W893LlwJG1qu,373000,4
4t1fWWJQs5V9YErfsrDslC,Cryin',7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,0.452,0.813,9,-4.45,1,0.0319,8.31e-05,0.0381,0.274,0.539,105.757,4t1fWWJQs5V9YErfsrDslC,308560,3
3ovjw5HZZv43SxTwApooCM,Wind Of Change,27T030eWyCQRmDyuvr1kxY,Scorpions,0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505,3ovjw5HZZv43SxTwApooCM,312360,4
0fsz7tJ7UKXT9hliLfO7aE,The Distance,6A43Djmhbe9100UwnI7epV,CAKE,0.456,0.752,11,-8.121,0,0.09,0.0095,0.00145,0.0573,0.897,183.569,0fsz7tJ7UKXT9hliLfO7aE,179600,4
39sICagGOiysHxoIBRyLLi,My Own Worst Enemy,5mgr0FFpvy267wKVAYg8qp,Lit,0.427,0.952,4,-3.383,1,0.0565,0.0252,0.0,0.407,0.588,103.523,39sICagGOiysHxoIBRyLLi,169405,4
3B4q6KbHbGV51HO3GznBFF,What I Got,0EdvGhlC1FkGItLOWQzG4J,Sublime,0.804,0.696,7,-7.47,1,0.0899,0.00877,0.000985,0.314,0.657,95.721,3B4q6KbHbGV51HO3GznBFF,170907,4
2Srd8Jgif3kc6ou6Z4pSYJ,Every You Every Me,6RZUqkomCmb8zCRqc9eznB,Placebo,0.478,0.923,10,-7.547,1,0.0569,2.7e-05,0.719,0.325,0.165,133.135,2Srd8Jgif3kc6ou6Z4pSYJ,213800,4
63OQupATfueTdZMWTxW03A,Karma Police,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,63OQupATfueTdZMWTxW03A,264067,4
3YRCqOhFifThpSRFJ1VWFM,November Rain,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,3YRCqOhFifThpSRFJ1VWFM,536067,4
3mhOmh4tRKsMfnRmgZfeBm,Far Behind,3R6c2tWDBeYB1GncjLMn9n,Candlebox,0.552,0.645,7,-6.595,1,0.0268,0.00187,1.38e-06,0.0424,0.588,89.518,3mhOmh4tRKsMfnRmgZfeBm,299733,4
0Dw9z44gXhplDh5HCWZIxP,You Oughta Know,6ogn9necmbUdCppmNnGOdi,Alanis Morissette,0.66,0.831,4,-8.195,1,0.0557,0.204,0.0,0.736,0.43,105.32,0Dw9z44gXhplDh5HCWZIxP,249200,4
02ZdZqhpfrPnxwyakXgxB8,Lump,1lZvg4fNAqHoj6I9N8naBM,The Presidents Of The United States Of America,0.507,0.882,6,-3.917,1,0.0337,0.0053,0.0,0.177,0.907,142.398,02ZdZqhpfrPnxwyakXgxB8,134200,4
4ReyTz0y3TGkX48wO3Llot,Epic,6GbCJZrI318Ybm8mY36Of5,Faith No More,0.358,0.893,4,-7.486,0,0.12,0.0222,0.0524,0.126,0.262,174.238,4ReyTz0y3TGkX48wO3Llot,293653,4
42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,6TcnmlCSxihzWOQJ8k0rNS,Third Eye Blind,0.64,0.864,7,-6.576,1,0.0314,0.00832,0.0,0.123,0.701,102.026,42et6fnHCw1HIPSrdPprMl,268360,4
7cz70nyRXlCJOE85whEkgU,Flagpole Sitta,7fu6ebyL3JGXJgo5zsOo4k,Harvey Danger,0.361,0.901,4,-4.133,0,0.0443,0.00152,0.000263,0.286,0.482,144.97,7cz70nyRXlCJOE85whEkgU,217267,4
263aNAQCeFSWipk896byo6,Friday I'm in Love,7bu3H8JO7d0UbMoVzbo70s,The Cure,0.526,0.762,0,-12.437,0,0.0342,0.000972,0.000116,0.338,0.505,136.203,263aNAQCeFSWipk896byo6,214400,4
2a1iMaoWQ5MnvLFBDv4qkf,High and Dry,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,0.419,0.383,4,-11.782,1,0.0256,0.0724,0.0176,0.0896,0.35,87.568,2a1iMaoWQ5MnvLFBDv4qkf,257480,4
0rFWuqFgHAfuzE8uSB9TWR,Live And Let Die,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,0.262,0.777,11,-8.671,1,0.0632,0.0109,0.113,0.12,0.264,152.5,0rFWuqFgHAfuzE8uSB9TWR,182733,4
1O2ACd0zg4GYgQRhLBGYDV,Everything About You,3XsgWn63EnA4wYZBjVyxjf,Ugly Kid Joe,0.501,0.803,1,-8.449,1,0.0547,0.00881,1.78e-06,0.107,0.738,122.458,1O2ACd0zg4GYgQRhLBGYDV,255160,4
0h4fRpHrxBeR3XWHmcolaU,Stupid Girl - Remastered 2015,6S0GHTqz5sxK5f9HtLXn9q,Garbage,0.59,0.802,11,-4.163,1,0.0356,0.00226,0.00143,0.0392,0.696,120.051,0h4fRpHrxBeR3XWHmcolaU,258133,4
24tO365YW6lcZr1hN4Ukzj,Tomorrow,4iudEcmuPlYNdbP3e1bdn1,Silverchair,0.292,0.714,2,-4.919,1,0.0316,0.000658,0.000109,0.102,0.462,151.412,24tO365YW6lcZr1hN4Ukzj,266280,3
4jJfa4mO5JjV9Tz2aAxE2M,Supersonic - Remastered,2DaxqgrOhkeH0fpeiQq2f4,Oasis,0.359,0.913,9,-2.865,1,0.0391,6.31e-05,0.0121,0.0954,0.589,104.058,4jJfa4mO5JjV9Tz2aAxE2M,283787,4
37EJtTS7jT5WUyXGZzrwnI,Santa Monica,694QW15WkebjcrWgQHzRYF,Everclear,0.491,0.942,7,-5.333,1,0.132,0.156,0.0,0.367,0.387,100.446,37EJtTS7jT5WUyXGZzrwnI,191507,4
5xC8uOesnn0udeXAYlAnoY,Alright,0sHeX8oQ6o7xic3wMf4NBU,Supergrass,0.467,0.958,4,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,5xC8uOesnn0udeXAYlAnoY,180880,4
3CtphwpjC0XjIVpLFvGiQR,Hunger Strike - 25th Anniversary Mix,0iHb0mCbqZTYeb4y9Pirrd,Temple Of The Dog,0.384,0.735,7,-6.522,1,0.0317,0.0252,2.76e-05,0.114,0.312,137.834,3CtphwpjC0XjIVpLFvGiQR,246267,4
1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,0.599,0.957,11,-5.764,1,0.188,0.0129,7.06e-05,0.155,0.489,103.68,1wsRitfRRtWyEapl0q22o8,206200,4
1Y13csEpu3TK5gQdzGLrd8,Pardon Me,3YcBF2ttyueytpXtEzn1Za,Incubus,0.579,0.812,1,-6.509,0,0.0693,0.00114,0.00333,0.115,0.278,152.002,1Y13csEpu3TK5gQdzGLrd8,223747,4
05NYcsjJwOYq4jIiKPVj9p,Hard To Handle,5krkohEVJYw0qoB5VWwxaC,The Black Crowes,0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,05NYcsjJwOYq4jIiKPVj9p,188067,4
6u1yKoh00WaoSpNp46RzKF,Cumbersome,2zsLaQhHFdQPdFXqG1nRmM,Seven Mary Three,0.543,0.79,11,-5.932,1,0.0358,0.00811,0.0,0.238,0.339,80.923,6u1yKoh00WaoSpNp46RzKF,236973,4
5sFDReWLrZHLFZFjHsjUTS,Would? (2022 Remaster),64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,0.305,0.833,6,-7.981,1,0.0398,0.000327,2.36e-05,0.091,0.586,100.675,5sFDReWLrZHLFZFjHsjUTS,206773,4
1ru5R5iSawvuMELqKXxLjS,The Impression That I Get,5uYXMC13cIUulobh204QuK,The Mighty Mighty Bosstones,0.418,0.945,4,-5.406,1,0.118,0.0991,0.0123,0.23,0.696,181.174,1ru5R5iSawvuMELqKXxLjS,194760,4
48sJGpBLqQTs0sZ2ImHJof,Popular,11zHPjHnZN0ACA50rSnTcy,Nada Surf,0.444,0.884,7,-6.104,1,0.119,0.00751,8.94e-05,0.116,0.296,94.82,48sJGpBLqQTs0sZ2ImHJof,220587,4
3G69vJMWsX6ZohTykad2AU,One,51Blml2LZPmy7TTiAg47vQ,U2,0.392,0.534,0,-8.793,1,0.0369,0.245,0.00104,0.155,0.325,181.305,3G69vJMWsX6ZohTykad2AU,276187,4
74KI6d8jEM2zwOAo3luayU,Shimmer,0EyuKHE1AeE9lWUF8mzKVp,Fuel,0.48,0.795,4,-6.408,0,0.0421,0.00236,0.0,0.189,0.432,114.674,74KI6d8jEM2zwOAo3luayU,214107,4
1KdwPeY1WRWQGHCmRJTveb,Cannonball,1xgFexIwrf2QjbU0buCNnp,The Breeders,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.499,1KdwPeY1WRWQGHCmRJTveb,213693,4
6q4aoWgTQ8td2AvqQXuFqm,Take A Picture,01WjpKiWVNurV5hjIadB8C,Filter,0.541,0.776,2,-8.042,1,0.0298,0.00147,0.000221,0.178,0.282,98.986,6q4aoWgTQ8td2AvqQXuFqm,363800,4
18ZOH3KKu5Elt5ysocFyX4,All Mixed Up,41Q0HrwWBtuUkJc7C1Rp6K,311,0.76,0.702,10,-9.404,0,0.0716,0.0104,0.0,0.38,0.659,92.324,18ZOH3KKu5Elt5ysocFyX4,179600,4
4Uiw0Sl9yskBaC6P4DcdVD,Be Quiet and Drive (Far Away),6Ghvu1VvMGScGpOUJBAHNH,Deftones,0.206,0.965,1,-5.116,1,0.079,9.91e-06,0.827,0.367,0.168,92.615,4Uiw0Sl9yskBaC6P4DcdVD,299867,4
5wq8wceQvaFlOZovDtfr0j,Sunburn,12Chz98pHFMPJEknJQMWvI,Muse,0.474,0.905,4,-6.137,0,0.0842,0.122,0.00154,0.166,0.322,93.02,5wq8wceQvaFlOZovDtfr0j,233733,4
2qRZm3cGCUPK40j3g0G5cN,Hedonism (Just Because You Feel Good),5HlXA01kcjssYDT7EoqUJF,Skunk Anansie,0.563,0.536,10,-9.488,1,0.0286,0.0874,0.000105,0.164,0.312,81.094,2qRZm3cGCUPK40j3g0G5cN,207360,4
6L4fEE9awoUnSEy1bmQebb,Country House - 2012 Remaster,7MhMgCo0Bl0Kukl93PZbYS,Blur,0.331,0.885,9,-6.606,1,0.0923,0.205,0.0,0.123,0.589,175.293,6L4fEE9awoUnSEy1bmQebb,236960,4
60wTHSJ0PxxwZDiSLiFaQX,If Only,4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,0.597,0.892,5,-4.484,0,0.0297,0.0716,0.195,0.0797,0.939,126.066,60wTHSJ0PxxwZDiSLiFaQX,202680,4
6IsnrcSZvmmd5db8QpQb91,Milquetoast,0qB0cTENhSUc0feov5qbg0,Helmet,0.48,0.793,2,-10.209,1,0.0892,3.6e-05,0.197,0.0732,0.425,96.062,6IsnrcSZvmmd5db8QpQb91,233000,4
136biHnnfSnXsp9Bi2hZ4f,High,0ZZr6Y49NZWRJc0uCwqpMR,Feeder,0.499,0.794,2,-5.628,1,0.0374,0.0359,0.0,0.0794,0.185,80.175,136biHnnfSnXsp9Bi2hZ4f,273280,4
368RLF0YBCX8FyB4RGkaVq,Nowhere,3MomZRiJwdZmYnysgtF4Ey,Therapy?,0.415,0.966,9,-7.288,1,0.0953,0.000288,0.261,0.344,0.309,95.433,368RLF0YBCX8FyB4RGkaVq,146307,4
1odExI7RdWc4BT515LTAwj,Daylight,33NVpKoXjItPwUJTMZIOiY,David Kushner,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,1odExI7RdWc4BT515LTAwj,212954,4
26b3oVLrRUaaybJulow9kz,People,7kjSuFGKhLm8b5qXoMhRkJ,Libianca,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,26b3oVLrRUaaybJulow9kz,184791,5
1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,1Y3LN4zO1Edc2EluIoSPJN,176440,3
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3USxtqRwSYz57Ewm6wWRMp,238805,4
6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,0.49,0.352,6,-11.577,0,0.0254,0.709,0.0856,0.114,0.166,99.992,6GGtHZgBycCgGBUhZo81xe,209156,4
3OHfY25tqY28d16oZczHc8,Kill Bill,7tYKF4w9nC0nq9CsPZTHyP,SZA,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,3OHfY25tqY28d16oZczHc8,153947,4
